V1,num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,last_reported
,2.0,0.0,2.0,24.0,1693950146.0
,9.0,1.0,8.0,17.0,1693950412.0
,14.0,6.0,8.0,13.0,1693950676.0
,14.0,6.0,8.0,13.0,1693950937.0
,14.0,6.0,8.0,13.0,1693951199.0
,14.0,6.0,8.0,13.0,1693951465.0
,14.0,6.0,8.0,13.0,1693951993.0
,14.0,6.0,8.0,13.0,1693952253.0
,14.0,6.0,8.0,13.0,1693952517.0
,13.0,6.0,7.0,14.0,1693952783.0
,12.0,6.0,6.0,15.0,1693953048.0
,12.0,6.0,6.0,15.0,1693953314.0
,12.0,6.0,6.0,15.0,1693953581.0
,12.0,6.0,6.0,15.0,1693954114.0
,12.0,6.0,6.0,15.0,1693954380.0
,12.0,6.0,6.0,15.0,1693954644.0
,12.0,6.0,6.0,15.0,1693954910.0
,12.0,6.0,6.0,15.0,1693955178.0
,12.0,6.0,6.0,15.0,1693955443.0
,12.0,6.0,6.0,15.0,1693955709.0
,12.0,6.0,6.0,15.0,1693955970.0
,12.0,6.0,6.0,15.0,1693956500.0
,12.0,6.0,6.0,14.0,1693956764.0
,12.0,6.0,6.0,14.0,1693957029.0
,11.0,6.0,5.0,15.0,1693957293.0
,11.0,6.0,5.0,15.0,1693957554.0
,12.0,6.0,6.0,15.0,1693957818.0
,12.0,6.0,6.0,15.0,1693958082.0
,11.0,6.0,5.0,16.0,1693958610.0
,11.0,6.0,5.0,16.0,1693958876.0
,11.0,6.0,5.0,16.0,1693959141.0
,12.0,6.0,6.0,15.0,1693959405.0
,12.0,6.0,6.0,15.0,1693959671.0
,12.0,6.0,6.0,15.0,1693959935.0
,13.0,6.0,7.0,14.0,1693960198.0
,13.0,6.0,7.0,13.0,1693960725.0
,13.0,6.0,7.0,13.0,1693960989.0
,13.0,6.0,7.0,13.0,1693960989.0
,13.0,6.0,7.0,13.0,1693961519.0
,13.0,6.0,7.0,13.0,1693961785.0
,13.0,6.0,7.0,13.0,1693962051.0
,13.0,6.0,7.0,13.0,1693962316.0
,13.0,6.0,7.0,13.0,1693962582.0
,13.0,6.0,7.0,13.0,1693963111.0
,13.0,6.0,7.0,13.0,1693963374.0
,13.0,6.0,7.0,13.0,1693963639.0
,13.0,6.0,7.0,13.0,1693963907.0
,13.0,6.0,7.0,13.0,1693964170.0
,13.0,6.0,7.0,13.0,1693964433.0
,13.0,6.0,7.0,13.0,1693964700.0
,13.0,6.0,7.0,13.0,1693964967.0
,13.0,6.0,7.0,13.0,1693965235.0
,13.0,6.0,7.0,13.0,1693965761.0
,13.0,6.0,7.0,13.0,1693966027.0
,13.0,6.0,7.0,13.0,1693966293.0
,13.0,6.0,7.0,13.0,1693966560.0
,13.0,6.0,7.0,13.0,1693966824.0
,13.0,6.0,7.0,13.0,1693967353.0
,13.0,6.0,7.0,13.0,1693967353.0
,13.0,6.0,7.0,13.0,1693967620.0
,13.0,6.0,7.0,13.0,1693968147.0
,13.0,6.0,7.0,13.0,1693968407.0
,13.0,6.0,7.0,13.0,1693968672.0
,13.0,6.0,7.0,13.0,1693968934.0
,13.0,6.0,7.0,13.0,1693969200.0
,13.0,6.0,7.0,13.0,1693969729.0
,13.0,6.0,7.0,13.0,1693969994.0
,13.0,6.0,7.0,13.0,1693970293.0
,14.0,6.0,8.0,12.0,1693970557.0
,14.0,6.0,8.0,12.0,1693970821.0
,14.0,6.0,8.0,12.0,1693971088.0
,14.0,6.0,8.0,12.0,1693971350.0
,14.0,6.0,8.0,12.0,1693971616.0
,14.0,6.0,8.0,12.0,1693971879.0
,14.0,6.0,8.0,12.0,1693972178.0
,14.0,6.0,8.0,12.0,1693972707.0
,15.0,6.0,9.0,12.0,1693972970.0
,15.0,6.0,9.0,12.0,1693973237.0
,15.0,6.0,9.0,12.0,1693973500.0
,15.0,6.0,9.0,12.0,1693973766.0
,15.0,6.0,9.0,12.0,1693974026.0
,15.0,6.0,9.0,12.0,1693974552.0
,15.0,6.0,9.0,12.0,1693974811.0
,15.0,6.0,9.0,12.0,1693975077.0
,15.0,6.0,9.0,12.0,1693975341.0
,15.0,6.0,9.0,12.0,1693975600.0
,15.0,6.0,9.0,12.0,1693975864.0
,15.0,6.0,9.0,12.0,1693976127.0
,15.0,6.0,9.0,12.0,1693976392.0
,15.0,6.0,9.0,12.0,1693976655.0
,15.0,6.0,9.0,12.0,1693977182.0
,15.0,6.0,9.0,12.0,1693977448.0
,15.0,6.0,9.0,12.0,1693977717.0
,16.0,6.0,10.0,11.0,1693977980.0
,16.0,6.0,10.0,11.0,1693978280.0
,16.0,6.0,10.0,11.0,1693978548.0
,16.0,6.0,10.0,11.0,1693978813.0
,17.0,6.0,11.0,10.0,1693979346.0
,17.0,6.0,11.0,10.0,1693979613.0
,18.0,6.0,12.0,9.0,1693979878.0
,19.0,6.0,13.0,8.0,1693980142.0
,19.0,6.0,13.0,8.0,1693980404.0
,19.0,6.0,13.0,8.0,1693980668.0
,19.0,6.0,13.0,8.0,1693980930.0
,21.0,6.0,15.0,6.0,1693981192.0
,23.0,6.0,17.0,4.0,1693981459.0
,23.0,6.0,17.0,4.0,1693981986.0
,24.0,6.0,18.0,3.0,1693982250.0
,24.0,6.0,18.0,3.0,1693982516.0
,24.0,6.0,18.0,3.0,1693982781.0
,24.0,6.0,18.0,3.0,1693983052.0
,23.0,5.0,18.0,4.0,1693983316.0
,24.0,5.0,19.0,3.0,1693983582.0
,24.0,5.0,19.0,3.0,1693984112.0
,24.0,5.0,19.0,3.0,1693984377.0
,24.0,5.0,19.0,3.0,1693984640.0
,26.0,5.0,21.0,1.0,1693984904.0
