num_bikes_available,num_bikes_available_types.mechanical,num_bikes_available_types.ebike,num_docks_available,last_reported,V1
1.0,0.0,1.0,26.0,1690874825.0,
1.0,0.0,1.0,26.0,1690875092.0,
2.0,0.0,2.0,25.0,1690875360.0,
3.0,1.0,2.0,24.0,1690875626.0,
3.0,1.0,2.0,24.0,1690876155.0,
3.0,1.0,2.0,24.0,1690876419.0,
3.0,1.0,2.0,24.0,1690876685.0,
3.0,1.0,2.0,24.0,1690876950.0,
3.0,1.0,2.0,24.0,1690877214.0,
4.0,1.0,3.0,23.0,1690877477.0,
4.0,1.0,3.0,23.0,1690877743.0,
4.0,1.0,3.0,23.0,1690878010.0,
4.0,1.0,3.0,23.0,1690878276.0,
5.0,1.0,4.0,22.0,1690878804.0,
6.0,1.0,5.0,21.0,1690879070.0,
6.0,1.0,5.0,21.0,1690879337.0,
6.0,1.0,5.0,21.0,1690879602.0,
6.0,1.0,5.0,21.0,1690879868.0,
6.0,1.0,5.0,21.0,1690880127.0,
5.0,1.0,4.0,22.0,1690880393.0,
5.0,1.0,4.0,22.0,1690880920.0,
4.0,1.0,3.0,23.0,1690881187.0,
3.0,0.0,3.0,23.0,1690881454.0,
3.0,1.0,2.0,24.0,1690881719.0,
3.0,1.0,2.0,24.0,1690881986.0,
3.0,1.0,2.0,24.0,1690882252.0,
3.0,1.0,2.0,24.0,1690882519.0,
3.0,1.0,2.0,24.0,1690882782.0,
3.0,1.0,2.0,24.0,1690883049.0,
3.0,1.0,2.0,24.0,1690883577.0,
3.0,1.0,2.0,24.0,1690883843.0,
3.0,1.0,2.0,24.0,1690884108.0,
3.0,1.0,2.0,24.0,1690884373.0,
3.0,1.0,2.0,24.0,1690884638.0,
3.0,1.0,2.0,24.0,1690884899.0,
3.0,1.0,2.0,24.0,1690885160.0,
3.0,1.0,2.0,24.0,1690885691.0,
3.0,1.0,2.0,24.0,1690885956.0,
3.0,1.0,2.0,24.0,1690886217.0,
4.0,1.0,3.0,23.0,1690886478.0,
5.0,1.0,4.0,22.0,1690886743.0,
5.0,1.0,4.0,22.0,1690887003.0,
5.0,1.0,4.0,22.0,1690887269.0,
5.0,1.0,4.0,22.0,1690887802.0,
5.0,1.0,4.0,22.0,1690888068.0,
5.0,1.0,4.0,22.0,1690888328.0,
5.0,1.0,4.0,22.0,1690888592.0,
4.0,1.0,3.0,23.0,1690888859.0,
4.0,1.0,3.0,23.0,1690889121.0,
4.0,1.0,3.0,23.0,1690889388.0,
5.0,1.0,4.0,22.0,1690889919.0,
5.0,1.0,4.0,22.0,1690890186.0,
5.0,1.0,4.0,22.0,1690890453.0,
5.0,1.0,4.0,22.0,1690890720.0,
5.0,1.0,4.0,22.0,1690890987.0,
5.0,1.0,4.0,22.0,1690891256.0,
5.0,1.0,4.0,22.0,1690891523.0,
4.0,1.0,3.0,23.0,1690891790.0,
4.0,1.0,3.0,23.0,1690892059.0,
4.0,1.0,3.0,23.0,1690892593.0,
4.0,1.0,3.0,23.0,1690892858.0,
2.0,0.0,2.0,24.0,1690893124.0,
1.0,1.0,0.0,26.0,1690893392.0,
1.0,1.0,0.0,26.0,1690893658.0,
1.0,1.0,0.0,26.0,1690893925.0,
1.0,1.0,0.0,26.0,1690894193.0,
1.0,1.0,0.0,26.0,1690894721.0,
0.0,0.0,0.0,26.0,1690894987.0,
0.0,0.0,0.0,27.0,1690895254.0,
0.0,0.0,0.0,27.0,1690895519.0,
0.0,0.0,0.0,27.0,1690895785.0,
0.0,0.0,0.0,27.0,1690896052.0,
0.0,0.0,0.0,27.0,1690896317.0,
0.0,0.0,0.0,27.0,1690896581.0,
0.0,0.0,0.0,27.0,1690896844.0,
0.0,0.0,0.0,27.0,1690897379.0,
0.0,0.0,0.0,27.0,1690897648.0,
1.0,0.0,1.0,26.0,1690897915.0,
1.0,0.0,1.0,26.0,1690898181.0,
1.0,0.0,1.0,26.0,1690898447.0,
1.0,0.0,1.0,26.0,1690898711.0,
1.0,0.0,1.0,26.0,1690898975.0,
1.0,0.0,1.0,26.0,1690899504.0,
1.0,0.0,1.0,26.0,1690899772.0,
1.0,0.0,1.0,26.0,1690900037.0,
1.0,0.0,1.0,26.0,1690900303.0,
1.0,0.0,1.0,26.0,1690900567.0,
1.0,0.0,1.0,26.0,1690900831.0,
1.0,0.0,1.0,26.0,1690901361.0,
1.0,0.0,1.0,26.0,1690901361.0,
1.0,0.0,1.0,26.0,1690901630.0,
1.0,0.0,1.0,26.0,1690902159.0,
0.0,0.0,0.0,27.0,1690902425.0,
0.0,0.0,0.0,27.0,1690902691.0,
0.0,0.0,0.0,27.0,1690902958.0,
0.0,0.0,0.0,27.0,1690903224.0,
0.0,0.0,0.0,27.0,1690903490.0,
0.0,0.0,0.0,27.0,1690904017.0,
0.0,0.0,0.0,27.0,1690904281.0,
0.0,0.0,0.0,27.0,1690904546.0,
0.0,0.0,0.0,27.0,1690904811.0,
0.0,0.0,0.0,27.0,1690905075.0,
0.0,0.0,0.0,27.0,1690905337.0,
0.0,0.0,0.0,27.0,1690905605.0,
0.0,0.0,0.0,27.0,1690906136.0,
0.0,0.0,0.0,27.0,1690906402.0,
0.0,0.0,0.0,27.0,1690906402.0,
0.0,0.0,0.0,27.0,1690906937.0,
0.0,0.0,0.0,27.0,1690907202.0,
0.0,0.0,0.0,27.0,1690907466.0,
0.0,0.0,0.0,27.0,1690907735.0,
0.0,0.0,0.0,27.0,1690908000.0,
0.0,0.0,0.0,27.0,1690908531.0,
0.0,0.0,0.0,27.0,1690908797.0,
0.0,0.0,0.0,27.0,1690908797.0,
2.0,1.0,1.0,25.0,1690909328.0,
2.0,1.0,1.0,25.0,1690909590.0,
2.0,1.0,1.0,25.0,1690909857.0,
2.0,1.0,1.0,25.0,1690910124.0,
2.0,1.0,1.0,25.0,1690910385.0,
2.0,1.0,1.0,25.0,1690910650.0,
2.0,1.0,1.0,25.0,1690911173.0,
1.0,1.0,0.0,26.0,1690911438.0,
1.0,1.0,0.0,26.0,1690911702.0,
1.0,1.0,0.0,26.0,1690911962.0,
1.0,1.0,0.0,26.0,1690912227.0,
0.0,0.0,0.0,27.0,1690912759.0,
0.0,0.0,0.0,27.0,1690912759.0,
0.0,0.0,0.0,27.0,1690913026.0,
0.0,0.0,0.0,27.0,1690913554.0,
0.0,0.0,0.0,26.0,1690913820.0,
2.0,0.0,2.0,24.0,1690914084.0,
2.0,0.0,2.0,24.0,1690914351.0,
2.0,0.0,2.0,24.0,1690914617.0,
2.0,0.0,2.0,24.0,1690914884.0,
3.0,0.0,3.0,24.0,1690915413.0,
3.0,0.0,3.0,24.0,1690915678.0,
3.0,0.0,3.0,24.0,1690915945.0,
3.0,0.0,3.0,24.0,1690916212.0,
3.0,0.0,3.0,24.0,1690916477.0,
3.0,0.0,3.0,24.0,1690916743.0,
3.0,0.0,3.0,24.0,1690917005.0,
3.0,0.0,3.0,24.0,1690917270.0,
3.0,0.0,3.0,24.0,1690917799.0,
